COUNTRY,STORE_OP_ZONE_ID,BRAND_CATEGORY,DIA_SEMANA,ORDENES_TOTALES_DIA_AVG,GMV_DIA_AVG
CL,191,Hamburguesa,Sun,15.500000,288.1725
PE,17,Vegetariana,Tue,1.000000,4
PE,38,Café,Wed,30.250000,280.0525
BR,0,Crepes,Sun,0.250000,2.84
CL,21,Vegetariana,Wed,0.250000,1.9025
CL,21,Vegetariana,Fri,1.750000,16.685
CO,70,Italiana,Fri,1.750000,3.5175
CO,354,Pescados y Mariscos,Sun,22.000000,528.4825
CO,28,Desayunos,Sat,81.750000,956.82
MX,838,Café y Té,Mon,49.500000,430.535
MX,375,Sándwiches,Fri,6.750000,108.8375
CO,199,Perros Calientes,Mon,7.750000,107.6425
AR,533,Panadería,Wed,6.750000,61.4025
PE,50,Desayunos,Mon,55.250000,747.1275
CO,4,Mexicana,Thu,880.250000,15352.29
CO,4,Mexicana,Mon,735.250000,12599.825
MX,107,Desayunos y Brunch,Mon,4.750000,41.225
MX,107,Desayunos y Brunch,Sat,6.500000,66.4525
MX,107,Desayunos y Brunch,Tue,5.750000,53.5575
MX,1062,Tacos,Wed,105.250000,1232.765
MX,1062,Tacos,Mon,110.500000,1274.38
MX,107,Desayunos y Brunch,Thu,4.500000,48.22
CO,17,Desayunos,Thu,290.250000,4543.62
CO,17,Poke,Sun,96.250000,1831.5125
CR,2,Alitas,Wed,0.250000,4.255
MX,107,Desayunos y Brunch,Sun,4.250000,42.6725
AR,13,Panadería,Fri,249.250000,3170.5675
AR,10,Postres,Sun,53.000000,907.68
MX,628,Mexicana,Wed,55.000000,610.0675
AR,594,Helados,Tue,37.750000,352.0125
MX,227,Barbacoa y Birria,Mon,5.250000,85.3075
MX,55,Mexicana,Sat,216.500000,4123.6125
AR,493,Hamburguesa,Fri,904.250000,19924.255
PE,48,Saludable,Mon,13.750000,111.41
PE,48,Saludable,Wed,12.000000,103.7925
CO,18,Pizza,Sun,235.250000,4974.7775
AR,493,Hamburguesa,Sat,863.750000,19033.015
CO,31,Mexicana,Sun,136.750000,2519.695
CO,31,Hamburguesa,Thu,425.750000,7116.805
MX,730,Antojitos y Garnachas,Sun,41.250000,780.4775
AR,596,Hamburguesa,Fri,2513.000000,53043.3425
AR,4,Pokes,Thu,0.750000,23.59
CL,21,Asiática,Thu,134.500000,3691.4775
EC,192,Helados,Wed,3.250000,12.9325
CO,56,Comida Rápida,Sun,101.000000,1441.2625
AR,244,Helados,Sat,31.750000,272.5725
AR,244,Helados,Sun,45.500000,380.195
PE,9,Pescados y Mariscos,Mon,56.000000,1140.9
MX,1431,Antojitos y Garnachas,Tue,2.000000,27.0625
MX,1515,Sándwiches,Mon,29.750000,312.6675
MX,1337,Mexicana,Thu,2.000000,13.1425
MX,1337,Mexicana,Wed,3.750000,27.6875
AR,460,Sushi,Fri,10.000000,273.4875
PE,27,Postres,Wed,112.000000,1005.85
PE,27,Postres,Fri,92.250000,856.77
CO,65,Pizza,Tue,88.500000,1554.1275
CO,65,Pizza,Thu,111.750000,2088.0625
MX,526,Tortas y Lonches,Tue,14.000000,163.52
MX,566,Internacional,Sat,1.750000,16.8425
AR,460,Sushi,Tue,9.750000,227.81
CO,65,Pizza,Sun,231.000000,4455.16
CO,25,Postres,Sun,397.500000,4843.34
CO,295,Perros Calientes,Sun,8.250000,77.9425
CO,295,Perros Calientes,Thu,8.000000,68.4575
MX,1067,Tacos,Sun,716.000000,14986.8025
MX,661,Comida Rápida,Thu,21.500000,279.67
MX,985,Hamburguesas,Fri,374.000000,6352.7525
CO,259,Típica,Sun,5.750000,117.5725
MX,939,Café y Té,Sat,337.750000,5425.135
MX,939,Café y Té,Thu,526.000000,7199.9225
PE,9,Pollería,Tue,459.250000,10498.075
PE,9,Pollería,Fri,643.500000,15682.64
PE,53,Panadería,Tue,11.250000,162.1875
AR,444,Milanesas,Sun,4.000000,85.135
AR,444,Milanesas,Fri,4.000000,97.82
MX,1045,Café y Té,Thu,205.750000,2587.825
CL,18,Sushi,Mon,99.250000,2121.855
AR,177,Pizza,Wed,4.750000,56.2575
MX,1003,Asiática,Sat,107.750000,3478.8475
MX,1388,Pescados y Mariscos,Sat,6.000000,130.495
MX,1311,Hamburguesas,Mon,48.500000,799.305
MX,1311,Hamburguesas,Sun,69.000000,1199.3775
MX,765,Mexicana,Fri,28.500000,422.62
MX,731,Pizza,Mon,89.500000,1169.2075
EC,180,Saludable,Tue,3.250000,35.3925
EC,180,Saludable,Mon,2.250000,25.865
CO,100,Helados,Thu,78.750000,803.0125
MX,954,Sushi,Fri,79.250000,1798.0075
MX,855,Tacos,Sat,21.250000,333.83
CO,9,Sushi,Sat,203.000000,3865.5625
MX,1515,Hamburguesas,Tue,120.500000,1762.195
CO,7,Jugos y Batidos,Fri,288.750000,3241.475
CO,7,Jugos y Batidos,Wed,215.250000,2421.6
MX,1365,Tacos,Mon,17.750000,260.63
CO,4,Postres,Sun,1929.000000,27784.805
CO,58,Pollo,Sat,329.250000,4729.295
CO,343,Comida Rápida,Thu,18.250000,154.7475
MX,1481,Chilaquiles y Enchiladas,Sat,63.250000,1278.315
AR,493,Panadería,Fri,85.750000,1083.0325
AR,493,Panadería,Mon,88.250000,1108.58
MX,296,Hamburguesas,Mon,80.250000,1089.955
MX,1331,Tacos,Wed,3.500000,42.335
MX,628,Postres,Sun,13.750000,247.71
MX,1191,Pizza,Thu,129.000000,1779.9625
MX,939,Sushi,Mon,140.750000,4898.6525
PE,6,Pizzas,Sun,179.500000,3596.935
MX,670,Hamburguesas,Mon,147.750000,2006.8
PE,213,Pollería,Mon,15.750000,222.9525
PE,26,Alitas,Sat,36.250000,485.58
MX,107,Smoothies y Jugos,Tue,6.250000,72.645
MX,1148,Sushi,Thu,1.000000,20.4425
MX,534,Pollo,Thu,83.750000,1636.0425
CO,65,Jugos y Batidos,Thu,19.500000,159.655
MX,836,Sándwiches,Sun,24.000000,425.6125
MX,1205,Postres,Mon,3.500000,56.36
MX,1067,Tortas y Lonches,Fri,122.250000,1844.6875
MX,536,Pollo,Tue,73.750000,1092.015
CL,20,Internacional,Mon,0.000000,0
MX,954,Helados y Nieves,Sat,34.750000,578.6275
MX,1371,Postres,Wed,74.750000,1291.3325
PE,169,Jugos y Batidos,Sat,0.750000,5.87
PE,105,Internacional,Tue,2.750000,32.985
MX,1380,Carnes y BBQ,Wed,0.500000,23.01
CO,27,Típica,Sat,221.750000,3464.55
CO,73,Hamburguesa,Mon,9.000000,150.4775
CO,73,Hamburguesa,Wed,9.250000,171.4775
